product_id,avg_sentiment,median_sentiment,positive_share,sentiment_review_count
P475908,0.706,0.8425,92.4,1964
P475921,0.711,0.8513,92.1,923
P475926,0.267,0.1779,70.0,10
P475932,0.685,0.8831,89.1,221
P475951,0.783,0.89125,94.5,400
P475961,0.815,0.9048,100.0,13
P476009,0.866,0.93165,98.2,166
P476010,0.825,0.927,97.3,184
P476028,0.71,0.8622000000000001,91.1,214
P476414,0.812,0.9298,94.9,1721
P476415,0.737,0.8908,92.6,433
P476428,0.757,0.8973,93.7,143
P476432,0.852,0.901,100.0,11
P476436,0.9,0.9742500000000001,97.5,40
P476447,0.523,0.7180500000000001,82.6,172
P476459,0.753,0.886,94.5,199
P476485,0.708,0.8715,91.9,37
P476496,0.58,0.7424,88.9,9
P476513,0.837,0.9348,96.7,1235
P476515,0.58,0.7645,85.7,14
P476538,0.647,0.7906,88.6,167
P476540,0.715,0.9418500000000001,87.8,74
P476553,0.621,0.7568999999999999,89.9,158
P476554,0.566,0.7033,84.9,159
P476570,0.549,0.7089,81.8,11
P476571,0.855,0.8553,100.0,1
P476674,0.883,0.9225,100.0,71
P476675,0.834,0.9042,98.6,69
P476676,0.878,0.9407,100.0,53
P476677,0.826,0.8893,96.0,25
P476678,0.865,0.9130499999999999,100.0,76
P476679,0.895,0.9390499999999999,98.8,84
P476680,0.822,0.911,100.0,48
P476681,0.801,0.9184,91.9,37
P476683,0.859,0.9384,97.7,131
P476686,0.891,0.918,100.0,3
P476726,0.799,0.9125,94.4,125
P476729,0.824,0.9195,96.3,977
P476730,0.706,0.8831500000000001,89.9,406
P476731,0.776,0.8929,95.0,278
P476733,0.59,0.8065,85.5,131
P476736,0.876,0.952,95.5,44
P476842,0.465,0.7537499999999999,76.9,26
P476843,0.785,0.8847,95.3,511
P476860,0.883,0.9115,100.0,19
P476876,0.872,0.95205,97.3,408
P476893,0.879,0.9402,100.0,73
P476894,0.77,0.9227,92.6,81
P477150,0.766,0.9236,85.7,7
P477157,0.846,0.9485,96.6,625
P477202,0.86,0.9404,96.6,59
P477413,0.749,0.9072,89.8,49
P477492,0.869,0.9413,97.3,225
P477706,0.398,0.3182,66.7,3
P477714,0.534,0.8607,78.0,41
P477734,0.385,0.48475,70.0,10
P477761,0.487,0.8592,75.0,8
P477812,0.695,0.763,100.0,4
P477830,0.758,0.8976999999999999,93.2,628
P477961,0.76,0.90455,93.4,166
P477985,0.751,0.8892,93.3,489
P478020,0.783,0.9312,92.5,67
P478021,0.786,0.8791,96.9,64
P478029,0.71,0.8675,91.4,347
P478030,0.534,0.7639,81.3,3000
P478239,0.808,0.92955,95.1,144
P478260,0.801,0.8007,100.0,1
P478270,0.984,0.9843,100.0,1
P478274,0.517,0.7992,77.8,27
P478731,0.729,0.8828,91.8,255
P479125,0.768,0.9032,93.4,700
P479304,0.754,0.88765,93.5,520
P479313,0.801,0.9092,95.0,141
P479318,0.843,0.9374,96.5,906
P479319,0.673,0.8435999999999999,88.6,184
P479327,0.761,0.90755,92.8,1458
P479329,0.721,0.86615,93.1,434
P479330,0.732,0.8732,92.4,473
P479339,0.76,0.9015,93.7,867
P479340,0.766,0.91675,93.1,274
P479348,0.671,0.8503,89.5,427
P479351,0.775,0.9131,93.6,267
P479352,0.827,0.92,96.3,219
P479353,0.62,0.8291999999999999,85.0,220
P479354,0.62,0.8072,86.3,600
P479362,0.67,0.82695,89.6,462
P479478,0.845,0.8196,100.0,7
P479632,0.686,0.8427,90.7,431
P479633,0.705,0.8625,92.8,321
P479645,0.833,0.9133,97.7,485
P479646,0.914,0.9636,100.0,3
P479688,0.393,0.6549,69.2,39
P479692,0.795,0.8901,96.3,273
P479696,0.976,0.9756,100.0,2
P479701,0.768,0.8768,93.1,87
P479703,0.829,0.9001,98.7,79
P479705,0.754,0.8557,95.2,441
P479706,0.73,0.8651,92.3,467
P479722,0.567,0.7564,84.3,197
P479732,0.483,0.6705,80.3,330
P479734,0.717,0.8519,92.9,2017
P479839,0.774,0.8818,95.7,2783
P479840,0.469,0.64225,80.0,70
P479841,0.847,0.9328,97.3,1128
P479860,0.66,0.8555,88.0,2466
P479861,0.69,0.7684,94.1,17
P479903,0.684,0.8641,88.3,343
P479904,0.592,0.8172,84.4,960
P479946,0.823,0.8151999999999999,100.0,4
P479947,0.396,0.6476,66.7,3
P479971,0.805,0.9195,95.0,603
P479973,0.5,0.7712,70.0,10
P479974,0.113,0.0258,42.9,7
P480150,0.845,0.8613999999999999,100.0,16
P480160,0.817,0.9182,95.9,245
P480162,0.811,0.9081,96.1,611
P480165,0.873,0.964,99.0,98
P480166,0.707,0.80665,92.9,14
P480174,0.67,0.9291,83.3,6
P480176,0.85,0.8599,100.0,3
P480177,0.73,0.8519,93.6,582
P480191,0.791,0.8926000000000001,97.9,48
P480192,0.75,0.8996,93.2,381
P480274,0.8,0.9023,94.5,165
P480278,0.601,0.8564,81.9,138
P480279,0.637,0.6836,90.0,10
P480280,0.314,0.6369,67.7,31
P480284,0.85,0.92675,97.2,212
P480285,0.832,0.92725,96.3,404
P480289,0.737,0.8442,100.0,5
P480300,0.644,0.9257,81.1,37
P480301,0.676,0.8451,89.0,821
P480346,0.664,0.8253999999999999,85.7,14
P480354,0.71,0.7096,100.0,1
P480355,0.85,0.8456,100.0,3
P480358,0.656,0.8367,93.5,31
P480441,0.502,0.5023,100.0,1
P480444,0.673,0.8689,87.7,73
P480445,0.811,0.8113,100.0,1
P480447,0.769,0.9209,93.2,295
P480461,0.805,0.90805,95.9,368
P480600,0.447,0.6442,73.3,30
P480603,0.685,0.90055,87.8,74
P480604,0.544,0.7452000000000001,75.0,4
